Player,Span,Mat,Inns,NO,Runs,HS,HS-N/O?,Ave,Hundreds,Fifties,Ducks,Batting Style,Player Role
DBL Powell (WI),2002-2009,37,57,5,407,36,Yes,7.82,0,0,15,R,
LR Johnson (WI),2014-2016,9,16,0,403,66,No,25.18,0,2,2,L,middle-order batsman
JR Hazlewood (AUS),2014-2019,51,62,29,402,39,No,12.18,0,0,10,L,bowler
TL Best (WI),2003-2013,25,38,6,401,95,No,12.53,0,1,9,R,bowler
MA Wood (ENG),2015-2020,16,28,6,399,52,No,18.13,0,1,2,R,bowler
M van Jaarsveld (SA),2002-2004,9,15,2,397,73,No,30.53,0,3,0,R,
Abdur Rehman (PAK),2007-2014,22,31,3,395,60,No,14.10,0,2,4,L,bowler
S van Zyl (SA),2014-2016,12,17,2,395,101,Yes,26.33,1,0,2,L,allrounder
FH Edwards (WI),2003-2012,55,88,28,394,30,No,6.56,0,0,19,R,bowler
BOP Fernando (SL),2019-2020,6,11,2,393,102,No,43.66,1,1,1,R,batsman
KMDN Kulasekara (SL),2005-2014,21,28,1,391,64,No,14.48,0,1,4,R,bowler
ARC Fraser (ENG),1989-1998,46,67,15,388,32,No,7.46,0,0,9,R,
CO Browne (WI),1995-2005,20,30,6,387,68,No,16.12,0,1,7,R,wicketkeeper batsman
VC Drakes (WI),2002-2004,12,20,2,386,67,No,21.44,0,1,2,R,
MS Harris (AUS),2018-2019,9,17,1,385,79,No,24.06,0,2,0,L,opening batsman
J Mubarak (SL),2002-2015,13,23,1,385,49,No,17.50,0,0,5,L,
Tapash Baisya (BDESH),2002-2005,21,40,6,384,66,No,11.29,0,2,9,R,
JD Campbell (WI),2019-2020,9,18,3,382,55,No,25.46,0,1,2,L,opening batsman
LK Germon (NZ),1995-1997,12,21,3,382,55,No,21.22,0,1,3,R,
JS Patel (NZ),2006-2017,24,38,8,381,47,No,12.70,0,0,7,R,
RIC Holder (WI),1997-1999,11,17,2,380,91,No,25.33,0,2,1,R,
DK Morrison (NZ),1987-1997,48,71,26,379,42,No,8.42,0,0,24,R,bowler
DJ Capel (ENG),1987-1990,15,25,1,374,98,No,15.58,0,2,4,R,
KK Nair (INDIA),2016-2017,6,7,1,374,303,Yes,62.33,1,0,1,R,top-order batsman
RG Samuels (WI),1996-1997,6,12,2,372,125,No,37.20,1,1,0,L,
KDK Vithanage (SL),2013-2015,10,16,2,370,103,Yes,26.42,1,1,1,L,middle-order batsman
SSJ Brooks (WI),2019-2020,6,11,0,369,111,No,33.54,1,3,2,R,top-order batsman
NA Foster (ENG),1986-1993,20,33,5,368,39,No,13.14,0,0,7,R,
NAM McLean (WI),1998-2001,19,32,2,368,46,No,12.26,0,0,6,L,bowler
IDK Salisbury (ENG),1992-2000,15,25,3,368,50,No,16.72,0,1,4,R,
PJ Wiseman (NZ),1998-2005,25,34,8,366,36,No,14.07,0,0,5,R,bowler
PR Adams (SA),1995-2004,45,55,15,360,35,No,9.00,0,0,8,R,bowler
Danish Kaneria (PAK),2000-2010,61,84,33,360,29,No,7.05,0,0,25,R,
CMW Read (ENG),1999-2007,15,23,4,360,55,No,18.94,0,1,5,R,
PS de Villiers (SA),1993-1998,18,26,7,359,67,Yes,18.89,0,2,3,R,
PR Sleep (AUS),1986-1990,10,13,1,359,90,No,29.91,0,2,2,R,
AJ Bichel (AUS),1997-2003,19,22,1,355,71,No,16.90,0,1,3,R,bowler
BW Hilfenhaus (AUS),2009-2012,27,38,12,355,56,Yes,13.65,0,1,8,R,bowler
MN Hart (NZ),1994-1995,14,24,4,353,45,No,17.65,0,0,3,L,
SB Joshi (INDIA),1996-2000,15,19,2,352,92,No,20.70,0,1,2,L,allrounder
S Matsikenyeri (ZIM),2003-2005,8,16,1,351,57,No,23.40,0,2,0,R,
SCG MacGill (AUS),1998-2008,44,47,11,349,43,No,9.69,0,0,12,R,bowler
CR Matthews (SA),1992-1995,18,25,6,348,62,Yes,18.31,0,1,4,R,
Jahurul Islam (BDESH),2010-2013,7,14,1,347,48,No,26.69,0,0,2,R,middle-order batsman
MA Carberry (ENG),2010-2014,6,12,0,345,60,No,28.75,0,1,2,L,opening batsman
Sanwar Hossain (BDESH),2001-2003,9,18,0,345,49,No,19.16,0,0,1,R,
D Dasgupta (INDIA),2001-2002,8,13,1,344,100,No,28.66,1,2,2,R,
FA Rose (WI),1997-2000,19,28,2,344,69,No,13.23,0,1,2,R,
TM Dowlin (WI),2009-2010,6,11,0,343,95,No,31.18,0,3,0,R,batsman
CA Best (WI),1986-1990,8,13,1,342,164,No,28.50,1,1,1,R,
CFK van Wyk (NZ),2012-2012,9,17,1,341,71,No,21.31,0,1,3,R,wicketkeeper batsman
UT Yadav (INDIA),2011-2020,46,52,22,340,31,No,11.33,0,0,6,R,bowler
GJ Maxwell (AUS),2013-2017,7,14,1,339,104,No,26.07,1,0,0,R,batting allrounder
A Nel (SA),2001-2008,36,42,8,337,34,No,9.91,0,0,11,R,
Raqibul Hasan (BDESH),2008-2011,9,18,1,336,65,No,19.76,0,1,2,R,batsman
SD Robson (ENG),2014-2014,7,11,0,336,127,No,30.54,1,1,0,R,opening batsman
R Rampaul (WI),2009-2012,18,31,8,335,40,Yes,14.56,0,0,6,L,bowler
MH Dekker (ZIM),1993-1996,14,22,1,333,68,Yes,15.85,0,2,4,L,
RA Harper (WI),1986-1993,11,15,1,332,74,No,23.71,0,3,0,R,bowler
HA Gomes (WI),1986-1987,11,16,1,330,56,No,22.00,0,1,1,L,
Wajahatullah Wasti (PAK),1999-2000,6,10,1,329,133,No,36.55,2,0,0,R,
